2025-05-17 03:36:49,796 - INFO - Max recompute ratio candidate: relu__86, ratio: 1023918373.8541253
2025-05-17 03:36:49,825 - INFO - Max recompute ratio candidate: relu__88, ratio: 1023918373.8541253
2025-05-17 03:36:49,854 - INFO - Max recompute ratio candidate: convolution_80, ratio: 1023918373.8541253
2025-05-17 03:36:49,885 - INFO - Max recompute ratio candidate: relu__119, ratio: 1023918373.8541253
2025-05-17 03:36:49,916 - INFO - Max recompute ratio candidate: relu__112, ratio: 1023918373.8541253
2025-05-17 03:36:49,946 - INFO - Max recompute ratio candidate: convolution_103, ratio: 1023918373.8541253
2025-05-17 03:36:49,977 - INFO - Max recompute ratio candidate: relu__97, ratio: 1023918373.8541253
2025-05-17 03:36:50,007 - INFO - Max recompute ratio candidate: relu__46, ratio: 1023918373.8541253
2025-05-17 03:36:50,036 - INFO - Max recompute ratio candidate: convolution_40, ratio: 1023918373.8541253
2025-05-17 03:36:50,066 - INFO - Max recompute ratio candidate: relu__38, ratio: 1023918373.8541253
2025-05-17 03:36:50,098 - INFO - Max recompute ratio candidate: relu__50, ratio: 1023918373.8541253
2025-05-17 03:36:50,129 - INFO - Max recompute ratio candidate: relu__83, ratio: 1023918373.8541253
2025-05-17 03:36:50,158 - INFO - Max recompute ratio candidate: convolution_127, ratio: 1023918373.8541253
2025-05-17 03:36:50,189 - INFO - Max recompute ratio candidate: convolution_46, ratio: 1023918373.8541253
2025-05-17 03:36:50,221 - INFO - Max recompute ratio candidate: relu__37, ratio: 1023918373.8541253
2025-05-17 03:36:50,252 - INFO - Max recompute ratio candidate: convolution_62, ratio: 1023918373.8541253
2025-05-17 03:36:50,282 - INFO - Max recompute ratio candidate: convolution_49, ratio: 1023918373.8541253
2025-05-17 03:36:50,311 - INFO - Max recompute ratio candidate: convolution_131, ratio: 1023918373.8541253
2025-05-17 03:36:50,342 - INFO - Max recompute ratio candidate: convolution_44, ratio: 1023918373.8541253
2025-05-17 03:36:50,373 - INFO - Max recompute ratio candidate: convolution_98, ratio: 1023918373.8541253
2025-05-17 03:36:50,402 - INFO - Max recompute ratio candidate: convolution_73, ratio: 1023918373.8541253
2025-05-17 03:36:50,432 - INFO - Max recompute ratio candidate: convolution_47, ratio: 1023918373.8541253
2025-05-17 03:36:50,462 - INFO - Max recompute ratio candidate: convolution_104, ratio: 1023918373.8541253
2025-05-17 03:36:50,491 - INFO - Max recompute ratio candidate: convolution_124, ratio: 1023918373.8541253
2025-05-17 03:36:50,520 - INFO - Max recompute ratio candidate: convolution_43, ratio: 1023918373.8541253
2025-05-17 03:36:50,550 - INFO - Max recompute ratio candidate: relu__55, ratio: 1023918373.8541253
2025-05-17 03:36:50,579 - INFO - Max recompute ratio candidate: relu__131, ratio: 1023918373.8541253
2025-05-17 03:36:50,608 - INFO - Max recompute ratio candidate: convolution_89, ratio: 1023918373.8541253
2025-05-17 03:36:50,639 - INFO - Max recompute ratio candidate: convolution_53, ratio: 1023918373.8541253
2025-05-17 03:36:50,669 - INFO - Max recompute ratio candidate: convolution_107, ratio: 1023918373.8541253
2025-05-17 03:36:50,700 - INFO - Max recompute ratio candidate: convolution_52, ratio: 1023918373.8541253
2025-05-17 03:36:50,729 - INFO - Max recompute ratio candidate: convolution_86, ratio: 1023918373.8541253
2025-05-17 03:36:50,759 - INFO - Max recompute ratio candidate: convolution_56, ratio: 1023918373.8541253
2025-05-17 03:36:50,791 - INFO - Max recompute ratio candidate: relu__58, ratio: 1023918373.8541253
2025-05-17 03:36:50,820 - INFO - Max recompute ratio candidate: relu__116, ratio: 1023918373.8541253
2025-05-17 03:36:50,851 - INFO - Max recompute ratio candidate: convolution_101, ratio: 1023918373.8541253
2025-05-17 03:36:50,879 - INFO - Max recompute ratio candidate: convolution_109, ratio: 1023918373.8541253
2025-05-17 03:36:50,908 - INFO - Max recompute ratio candidate: convolution_115, ratio: 1023918373.8541253
2025-05-17 03:36:50,938 - INFO - Max recompute ratio candidate: relu__35, ratio: 1023918373.8541253
2025-05-17 03:36:50,968 - INFO - Max recompute ratio candidate: relu__79, ratio: 1023918373.8541253
2025-05-17 03:36:50,998 - INFO - Max recompute ratio candidate: relu__53, ratio: 1023918373.8541253
2025-05-17 03:36:51,029 - INFO - Max recompute ratio candidate: convolution_58, ratio: 1023918373.8541253
2025-05-17 03:36:51,058 - INFO - Max recompute ratio candidate: convolution_64, ratio: 1023918373.8541253
2025-05-17 03:36:51,087 - INFO - Max recompute ratio candidate: relu__110, ratio: 1023918373.8541253
2025-05-17 03:36:51,116 - INFO - Max recompute ratio candidate: relu__115, ratio: 1023918373.8541253
2025-05-17 03:36:51,146 - INFO - Max recompute ratio candidate: convolution_121, ratio: 1023918373.8541253
2025-05-17 03:36:51,176 - INFO - Max recompute ratio candidate: convolution_65, ratio: 1023918373.8541253
2025-05-17 03:36:51,205 - INFO - Max recompute ratio candidate: relu__113, ratio: 1023918373.8541253
2025-05-17 03:36:51,236 - INFO - Max recompute ratio candidate: convolution_130, ratio: 1023918373.8541253
