rank,node_name,op_type,node_type,gtype,median_run_time_s,median_peak_mem_bytes,median_active_mem_bytes,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,memory_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes,device
112,arg0_113,placeholder,parameter,forward,4.5056000351905825e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
113,arg0_114,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
114,arg0_115,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,1048576,0.0,0.0,0,unknown
115,arg0_116,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,4096,0.0,0.0,0,unknown
116,arg0_117,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,4096,0.0,0.0,0,unknown
117,arg0_118,placeholder,parameter,forward,4.300799965858459e-05,751040512,751040512,-1,-1,-1,-1,2097152,0.0,0.0,0,unknown
118,arg0_119,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,4096,0.0,0.0,0,unknown
119,arg0_120,placeholder,parameter,forward,4.300799965858459e-05,751040512,751040512,-1,-1,-1,-1,4096,0.0,0.0,0,unknown
120,arg0_121,placeholder,parameter,forward,4.300799965858459e-05,751040512,751040512,-1,-1,-1,-1,1048576,0.0,0.0,0,unknown
121,arg0_122,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
122,arg0_123,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
123,arg0_124,placeholder,parameter,forward,2.764800004661083e-05,751040512,751040512,-1,-1,-1,-1,2359296,0.0,0.0,0,unknown
124,arg0_125,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
125,arg0_126,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
126,arg0_127,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,1048576,0.0,0.0,0,unknown
127,arg0_128,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,4096,0.0,0.0,0,unknown
128,arg0_129,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,4096,0.0,0.0,0,unknown
129,arg0_130,placeholder,parameter,forward,2.0479999482631683e-05,751040512,751040512,-1,-1,-1,-1,1048576,0.0,0.0,0,unknown
130,arg0_131,placeholder,parameter,forward,1.6383999958634378e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
131,arg0_132,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
132,arg0_133,placeholder,parameter,forward,2.1503999829292296e-05,751040512,751040512,-1,-1,-1,-1,2359296,0.0,0.0,0,unknown
