activation_name,decision,memory_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
relu__74,CHECKPOINT,802816,0.000784,2983,4283
convolution_78,RECOMPUTE,3211264,0.003136,2984,4279
getitem_315,CHECKPOINT,4096,4e-06,2988,4279
getitem_316,CHECKPOINT,4096,4e-06,2989,4279
relu__75,RECOMPUTE,3211264,0.003136,2992,4274
convolution_79,CHECKPOINT,802816,0.000784,2993,4270
getitem_319,CHECKPOINT,1024,1e-06,2997,4270
getitem_320,CHECKPOINT,1024,1e-06,2998,4270
relu__76,CHECKPOINT,802816,0.000784,3000,4266
convolution_80,CHECKPOINT,802816,0.000784,3001,4262
getitem_323,CHECKPOINT,1024,1e-06,3005,4262
getitem_324,CHECKPOINT,1024,1e-06,3006,4262
relu__77,CHECKPOINT,802816,0.000784,3008,4258
convolution_81,CHECKPOINT,3211264,0.003136,3009,4254
getitem_327,CHECKPOINT,4096,4e-06,3013,4254
getitem_328,CHECKPOINT,4096,4e-06,3014,4254
relu__78,CHECKPOINT,3211264,0.003136,3017,4249
convolution_82,CHECKPOINT,802816,0.000784,3018,4245
getitem_331,CHECKPOINT,1024,1e-06,3022,4245
getitem_332,CHECKPOINT,1024,1e-06,3023,4245
relu__79,CHECKPOINT,802816,0.000784,3025,4241
convolution_83,CHECKPOINT,802816,0.000784,3026,4237
getitem_335,CHECKPOINT,1024,1e-06,3030,4237
getitem_336,CHECKPOINT,1024,1e-06,3031,4237
relu__80,CHECKPOINT,802816,0.000784,3033,4233
convolution_84,CHECKPOINT,3211264,0.003136,3034,4229
getitem_339,CHECKPOINT,4096,4e-06,3038,4229
getitem_340,CHECKPOINT,4096,4e-06,3039,4229
relu__81,RECOMPUTE,3211264,0.003136,3042,4224
convolution_85,CHECKPOINT,802816,0.000784,3043,4220
getitem_343,CHECKPOINT,1024,1e-06,3047,4220
getitem_344,CHECKPOINT,1024,1e-06,3048,4220
relu__82,CHECKPOINT,802816,0.000784,3050,4216
convolution_86,CHECKPOINT,802816,0.000784,3051,4212
getitem_347,CHECKPOINT,1024,1e-06,3055,4212
getitem_348,CHECKPOINT,1024,1e-06,3056,4212
relu__83,CHECKPOINT,802816,0.000784,3058,4208
convolution_87,CHECKPOINT,3211264,0.003136,3059,4204
getitem_351,CHECKPOINT,4096,4e-06,3063,4204
getitem_352,CHECKPOINT,4096,4e-06,3064,4204
relu__84,CHECKPOINT,3211264,0.003136,3067,4199
convolution_88,CHECKPOINT,802816,0.000784,3068,4195
getitem_355,CHECKPOINT,1024,1e-06,3072,4195
